%eval_id interface log__t_efold_shallow log__t_efold_soil log__t_efold_karst f_exfiltration_shallow f_exfiltration_soil PDD_melt_factor log__H0_pdm_shallow log__H0_pdm_soil log__fdd_threshold snow_insulation_k f_tile_soil    log__tau_tile  et_alpha       wp_soil        neg_kge        
15       I1         1.708819711    1.285348205    3.898699169    0.8661838949   0.603556501    5.939641469    2.18230542     1.881122969    1.333829325    0.08098445679  0.03374676109  0.07242328134  0.7548947207   0.8604187176   1.016389547    
16       I1         0.6158441461   2.600075591    2.737443737    0.7065912886   0.4161493205   7.427576021    1.349083296    2.045882765    2.710810701    0.0952510559   0.823001159    0.262631748    0.1991792339   271.368215     2.236988366    
17       I1         0.8313026433   1.614103081    3.006847077    0.3832702037   0.1952555708   1.63161365     1.857987569    3.456802693    1.997537949    0.1150772176   0.6159562813   0.3112650316   0.3505532725   243.7621027    1.723070165    
18       I1         1.990996676    1.005001595    4.25617578     0.2421199327   0.5565208168   7.652579117    2.123644312    1.236715447    1.934508574    0.1071671306   0.833886297    0.8315909743   0.2138152013   240.3862378    2.202019843    
19       I1         1.05919981     1.169199313    2.657896966    0.02088740981  0.4123488404   8.818446818    2.065274884    1.445902362    2.532783732    0.07173282166  0.1646090425   0.05594325398  0.5919784978   97.037402      1.271695042    
20       I1         0.8352697815   2.364682212    2.591160766    0.8130420474   0.220584488    0.5155318816   2.944974689    1.390489932    2.101459796    0.07136475909  0.4887001888   0.6404883219   0.8546701463   186.0905655    1.257408014    
21       I1         1.670202853    1.846727143    3.424068791    0.4583877322   0.5671904152   6.399624598    2.87143989     2.331733285    1.263788492    0.1280895555   0.7389811265   0.9882857728   0.510262203    257.7804318    1.326006513    
22       I1         1.881864559    1.880140909    4.172137493    0.8399888113   0.2025505396   1.740474131    3.010601391    2.442475446    1.174228981    0.07204856641  0.462568454    0.5716126027   0.05093815793  181.1638105    2.357353403    
23       I1         1.948251375    1.875005895    3.306796818    0.8055794563   0.6635464248   2.631645173    2.314827831    1.980553407    0.4781242995   0.003060217119 0.5592818801   1.145423264    0.6859484458   130.8807823    0.942345581    
24       I1         1.674256652    2.153882841    3.63207404     0.1423160262   0.5424318474   6.440097854    2.988478439    1.522777782    2.874793484    0.1375507988   0.06732873272  0.9714150189   0.2951339955   164.3407286    1.832334931    
25       I1         0.4304851418   1.901955297    4.23019236     0.5394486182   0.2417438303   4.331382158    1.272784412    2.411801312    0.1211353351   0.08110155981  0.318113909    0.6885429112   0.3702395307   13.99949595    1.931406741    
26       I1         0.460359321    2.462764673    4.095182904    0.6923296241   0.2576233267   5.436145523    1.286243391    2.151304808    2.904393162    0.04983819246  0.2962104181   0.7980652064   0.3966967686   28.67558462    1.999353196    
27       I1         1.784835303    1.607062876    4.109591472    0.8532681676   0.1597277525   6.61131203     1.675449878    2.804449675    1.495739404    0.04593195816  0.01544124633  1.010849081    0.7415996947   250.7947335    1.267141873    
28       I1         0.937441218    1.327864414    4.314317134    0.9014394052   0.05784624219  9.33223508     2.465765395    3.203180992    0.01046354536  0.02823281811  0.1812863391   0.5451434742   0.3379981803   295.6007116    1.779265551    
29       I1         1.160758497    1.727952704    3.195114581    0.2228202545   0.5927817656   1.113506027    1.313900634    2.426668627    0.6458957316   0.06562738246  0.6730973224   0.1687750622   0.9844976792   144.6267856    1.333021521    
30       I1         1.395449208    2.273852932    4.469608268    0.5950280336   0.5056121611   2.171727156    2.16818102     1.308054637    0.7445761725   0.03280953308  0.925605282    0.6865957214   0.7081101895   173.56565      1.115814581    
31       I1         0.9059262998   2.091183159    3.419812513    0.5852573008   0.1289259313   5.071982654    2.354394372    1.163120034    1.892559692    0.1128200986   0.9172046298   1.08980198     0.9699588903   123.7333671    1.003886747    
32       I1         1.518732135    1.259956569    3.447680515    0.2605007178   0.03575032858  4.630881637    1.326716649    3.129949977    2.139711291    0.01342087327  0.8305988256   0.8670828814   0.1176657103   111.8500406    2.408014332    
33       I1         1.381827444    2.559012186    2.757391787    0.6350235686   0.2087928288   2.212150905    1.237292771    3.219664226    0.3851938745   0.08918136731  0.734230837    0.6130800588   0.4756270647   215.6131723    1.802158295    
34       I1         0.9445149779   2.226407977    3.771107536    0.8583340564   0.01152641849  9.496401716    3.311063793    2.982523479    0.6588449378   0.07660801036  0.4182719554   0.4694185475   0.32592438     92.59751234    1.808247627    
35       I1         1.651440729    2.112643846    4.006081118    0.3136359659   0.5517586627   6.315550258    2.154174786    3.174512681    1.844383773    0.1415581721   0.3623437924   0.2952049197   0.9640945785   191.0291553    0.7890712149   
36       I1         1.303370076    1.963526746    2.555153062    0.5146411477   0.7724180491   4.247479126    3.381077879    2.271710607    0.513162095    0.0135951224   0.3726005921   0.01425202926  0.8501362605   20.26446305    0.6415140403   
37       I1         0.6609580598   1.629118409    4.478762658    0.3027917464   0.807958624    8.435700196    3.40027001     1.789755191    2.430498278    0.009597835542 0.07284713712  0.5737659949   0.8958899706   62.14087505    1.303908884    
38       I1         1.600285292    2.6877406      2.538278452    0.6297198519   0.979447786    3.302655049    1.037207481    1.496207623    1.900026215    0.02224212373  0.9488494461   0.5232900657   0.9353389364   44.77880137    1.870851522    
39       I1         1.712625696    1.664203842    3.190784844    0.8944457742   0.5475262182   2.073431759    1.553425089    2.530530063    2.814390404    0.08704796234  0.3020887972   0.3242320639   0.1495958804   41.50120153    2.27977907     
40       I1         1.683075573    1.015258679    3.954929593    0.08187029442  0.7855111937   9.082364385    1.368960192    3.006776598    1.634907673    0.009130708936 0.678096566    0.755336269    0.690622874    12.5239867     1.519607784    
41       I1         1.177159204    2.50296565     3.45754666     0.9711978667   0.4707808031   7.662693208    2.233781363    1.037282727    2.614031237    0.02759367302  0.9325268311   0.5008630138   0.8753873452   79.30827814    1.042343544    
42       I1         1.280854117    1.693992783    3.385764139    0.9169635703   0.9584592573   4.999514334    2.134421948    2.599396139    2.246623344    0.07719453959  0.2563513162   0.1742958208   0.2193800096   263.9258096    1.888660873    
43       I1         1.324356168    2.444789642    2.965447787    0.7218329044   0.7329755853   9.218734886    1.982777018    2.229120089    0.7005035309   0.05003656804  0.4401880427   0.7080915252   0.63055957     17.49402059    1.118888766    
44       I1         1.527668383    1.024249216    3.845312261    0.8644663599   0.9751072237   2.271706462    2.929888882    2.945032852    1.03196887     0.1300090171   0.07074815394  0.6833664785   0.6721051003   88.86902843    1.127899016    
45       I1         1.690483718    2.333158098    4.125732872    0.6318941159   0.8500911906   8.935380853    2.940504265    1.971433464    0.02365816283  0.0209033312   0.1067902611   0.00406126534  0.3832331894   116.7793764    1.744689694    
46       I1         1.507471669    1.219835666    2.996022772    0.1717771929   0.3909964414   5.955674479    3.448515501    1.901372925    2.637092678    0.08572637968  0.5812672276   0.7445340188   0.7261842032   202.9541163    0.87262295     
47       I1         1.3490471      1.502985028    2.934513602    0.9243459712   0.805928482    6.59679333     2.60466547     1.53743792     2.728142416    0.09956963832  0.1131014103   1.139151374    0.06344198021  292.3383083    2.098729462    
48       I1         1.474533859    1.57146601     4.413056666    0.3438077843   0.1311815475   8.415995466    3.090544016    1.245559558    0.8735526437   0.003959483338 0.7738028734   1.030198957    0.9262768285   258.1525259    0.7412035617   
49       I1         0.7461268417   1.545416253    4.02533537     0.9795582233   0.4435392042   0.3582731703   2.622931498    1.481663572    2.358554384    0.06649909936  0.2259792969   0.8873449466   0.9770078977   128.3443319    1.345117775    
50       I1         1.69721588     1.684763754    3.401677843    0.3745234011   0.06917312631  0.241138325    1.441605389    2.49836251     2.408827111    0.1008911731   0.4786041716   0.636817604    0.2857734024   176.1178242    2.062717033    
51       I1         0.5420655705   1.648557062    2.992332302    0.6090147236   0.8537564426   8.08061807     1.718019718    2.086015148    1.772981264    0.1475647042   0.6582923944   0.8567651606   0.6200987856   281.6483194    1.676046288    
52       I1         0.4792202012   1.100195685    2.57275019     0.4929807404   0.10346091     0.803349096    2.431475731    1.688532865    2.944660868    0.019699681    0.147957556    0.6076613037   0.2121592393   146.8788116    2.005900802    
53       I1         0.869678216    2.543200157    4.222988627    0.3991976672   0.5109124987   2.35856479     3.111064988    2.533601941    0.9374078361   0.03584871559  0.2771438538   0.7339666564   0.2072982642   113.7130625    1.780861189    
54       I1         1.275950592    2.436423644    3.068165516    0.6010773471   0.182428131    1.845591962    2.971264849    1.565052783    1.237985725    0.1192409367   0.9874280903   0.1274763176   0.6400199401   231.1400687    1.188407297    
55       I1         1.186805977    2.402522684    3.087118066    0.07903790755  0.9325752491   7.21046598     1.160345849    1.596049626    1.145453166    0.0801661953   0.1842874824   0.8189964398   0.5602592892   125.9022149    1.650805269    
56       I1         1.310439953    1.637809805    4.064944398    0.1946010934   0.8629435835   8.49266892     3.17842612     2.591336595    0.9893905311   0.1216819218   0.6462075755   0.5546934006   0.2370172605   168.8249496    1.979498146    
57       I1         1.538629173    1.138117183    3.246093392    0.05397155562  0.6720925495   3.876418288    3.423253803    2.114067419    2.280089251    0.1098117906   0.5322708648   0.4743734253   0.1834894484   284.4541672    1.92609246     
58       I1         0.9177023502   1.509549826    4.135486143    0.7000810092   0.03786302582  5.275197541    2.229634502    1.342279879    0.04195670478  0.1231488017   0.7239746436   0.2207000871   0.7836682486   190.5913181    1.338415849    
59       I1         0.5489412889   1.07842609     3.395581343    0.4476728921   0.03002443055  1.177112345    1.249022616    1.080440081    2.3880732      0.1197710798   0.7424584988   1.131413042    0.5049664941   42.65761343    1.837361005    
60       I1         1.682335925    1.930591487    2.851202478    0.2099069187   0.07942275114  0.1383557627   1.946876391    2.401883743    0.773047494    0.07403162626  0.4664585421   0.758892404    0.3565897536   204.8705275    1.728942809    
61       I1         1.422242053    1.975972814    2.789409178    0.2934147745   0.633732568    6.104156355    2.33548061     3.208521763    2.375916342    0.01819411641  0.9739969046   0.7051120933   0.5161526048   7.811505172    1.243754977    
62       I1         0.6847636401   1.767639995    2.672121545    0.4528106755   0.2956648772   5.581352577    1.759161241    2.667509214    0.6240287021   0.07059676391  0.1192192009   0.7212247057   0.9424454385   188.9014192    1.274640202    
63       I1         0.8884118105   1.511267464    4.191135207    0.5035474146   0.813832477    7.978424054    2.02915257     2.559837649    0.8642558191   0.1119050489   0.3471174014   0.2735667034   0.5092094438   249.7817736    1.633696413    
64       I1         0.7579706501   1.41831238     4.292586158    0.676848485    0.9310201391   7.027733153    1.951766702    2.868630388    0.9633998653   0.09374300543  0.3651083536   0.3877138866   0.3061064784   14.94503516    1.959805489    
65       I1         0.4433185135   1.303784423    4.04804838     0.4156345467   0.6631821369   2.118319626    1.642919153    2.119979409    2.606132663    0.02566842705  0.02594052289  0.4716929537   0.4866094379   109.969743     1.873036352    
66       I1         0.7409346075   1.149679854    4.440692207    0.2366521052   0.7618330616   0.8342739093   2.393861539    3.084076775    2.690667852    0.04160675816  0.6753954997   0.2987330383   0.8881882517   31.78954338    1.280610194    
67       I1         0.600299416    2.644110444    3.784201027    0.3579996258   0.5220185425   4.058018758    2.406973527    3.285560582    2.167707434    0.08303546076  0.6653744651   0.789941181    0.1045218009   273.9110007    2.237672117    
68       I1         1.446335508    1.855932989    4.415591986    0.5574533339   0.4526974088   5.774861325    1.279143474    3.179087037    2.195951212    0.008250753537 0.1717230071   0.3633360685   0.2474403765   233.2402561    2.191385434    
69       I1         1.373481817    2.106105563    3.961198443    0.9752273023   0.8223547415   0.9572361427   2.319904806    2.91860866     1.482981472    0.06402426088  0.5347269965   0.03946107718  0.9023544862   165.2031227    0.9138219832   
70       I1         0.9154537974   1.950323918    4.037871506    0.5540566055   0.7054546704   1.696533584    2.664880824    2.752908861    1.068088119    0.04897151453  0.4327708627   1.036821093    0.4197933373   43.72875056    1.690167537    
71       I1         0.4552595495   2.221495105    3.54214926     0.8888690782   0.4023888976   6.043796498    2.451002017    3.325646255    2.807889658    0.002437925889 0.7320716377   1.020408827    0.01106078938  65.42132959    2.472909908    
72       I1         0.3443498047   1.31261729     3.951384311    0.588488354    0.5760678983   5.814931171    2.857879381    1.204925547    1.026619361    0.01252780878  0.4949188907   0.01946782242  0.493191989    115.2187251    2.086773408    
73       I1         1.589566797    1.623563135    3.03283948     0.2887668062   0.1250539843   9.391928479    2.728328268    1.545250241    0.5348479728   0.09145096807  0.2701244713   0.7261740688   0.9871109278   73.59659425    0.4849464137   
74       I1         0.8239859326   1.833095461    3.370947356    0.7426416074   0.1659209448   1.813236371    1.563766349    3.478063229    2.652318065    0.04225868721  0.9606638568   0.9599295013   0.9829104746   121.0194691    1.416728879    
75       I1         1.171461564    2.391765973    3.325752487    0.1752551528   0.714725534    3.558779445    2.826130043    1.175135339    0.6972503477   0.08492557991  0.1366489505   0.3294801577   0.6557698616   86.42307558    1.078912398    
76       I1         0.866175135    1.051939886    3.128993032    0.4563962076   0.06031807634  1.059934205    1.626046344    1.094410435    2.032463809    0.1343363818   0.9029952829   0.5082892904   0.4872428755   264.3674147    1.848216521    
77       I1         1.937686949    1.74754868     3.526345781    0.8179985224   0.8178788364   6.409110143    2.755057012    2.769704454    1.201611687    0.1080760097   0.3267196591   0.4536963683   0.768722082    293.7576314    0.8266182142   
78       I1         0.787877155    2.58541142     2.666142613    0.7558619954   0.6994658029   2.34359497     2.218883641    2.544833167    0.2344448061   0.05482963097  0.7651867261   0.01546111653  0.09942957066  51.68137968    2.152136084    
79       I1         1.841418893    2.455724537    2.888551602    0.6022610977   0.9142553178   0.701920532    3.223977752    1.053804211    1.505656796    0.09242968295  0.8797155547   0.4572744249   0.2505218653   239.7247785    1.82775765     
80       I1         1.498235502    1.522818988    2.895061716    0.6160442773   0.5642428646   1.544169539    2.418465654    1.943476169    2.562126967    0.02302040809  0.1976141502   0.8733432083   0.4042197908   100.4851703    1.471831136    
81       I1         1.085592975    2.555003389    4.297124512    0.5227558373   0.279182846    6.52304944     1.615097097    1.123376182    1.380947417    0.1093194512   0.895426609    0.8699277739   0.329037637    269.6307017    1.942443303    
82       I1         0.9931211435   2.161198875    3.667595332    0.876164382    0.2536875913   2.505893795    1.065052584    1.502462384    1.424638829    0.001473324176 0.5952331478   0.2162256522   0.1240867896   251.2765347    2.478316721    
83       I1         0.6021373378   1.124789684    3.282973026    0.9575132077   0.509737054    8.569121207    2.484000237    1.215646383    0.2780170959   0.1251213004   0.7787885583   0.1827940405   0.2617624237   77.93742235    2.222374607    
84       I1         0.9657950803   1.40414358     3.253518959    0.6478459703   0.8329797208   6.001678038    1.222673888    2.827554259    1.557954772    0.00292329938  0.1493974259   0.9357045396   0.462088485    296.0687537    1.821121287    
85       I1         0.9989670997   1.265502074    4.20024087     0.8096779854   0.07391524674  5.044471134    2.812952815    1.405590614    1.963028152    0.0524208257   0.09845278927  1.05189216     0.8581004597   216.5603802    1.075626328    
86       I1         0.872472806    2.232347639    2.875069965    0.8287151901   0.7659888071   0.3257977483   1.671585959    3.278161532    2.595281567    0.1140883631   0.747979466    0.5903732351   0.25932771     140.3484771    2.018183213    
87       I1         1.144801891    1.899072277    3.391570594    0.2689075142   0.08285317218  2.891081887    1.230063572    2.990559283    2.279911191    0.1456938673   0.1612066206   0.1153251592   0.934360668    171.9628115    1.276351786    
88       I1         1.098367723    2.016681234    4.382333396    0.1985720714   0.6796230876   4.956372551    1.360166142    2.60168121     2.42644469     0.07769191183  0.3571565172   0.2242835248   0.8430564775   256.50766      1.365864985    
89       I1         1.13489634     2.171886984    3.362561772    0.4751500174   0.6908226698   1.040583558    2.057926537    1.833699221    2.234202481    0.02442503688  0.05708835829  0.803983036    0.9494898123   192.8457483    0.8661764228   
90       I1         1.574434238    1.588301778    3.496524632    0.2089163743   0.1985287257   3.215896412    2.099260682    1.298031831    0.7675840782   0.0562985517   0.3082518743   0.2940092692   0.9747565672   126.6189608    0.6354702566   
91       I1         0.3734655823   1.618783662    3.593232741    0.5638427568   0.6802152624   9.688580275    3.028973259    2.276303189    1.546148052    0.06286047971  0.4215890459   0.4401104405   0.6493812394   198.1020128    1.794706025    
92       I1         0.8480205554   1.802122459    3.13492306     0.9534866534   0.7113755041   6.688892982    3.297357431    1.743068374    0.9992347471   0.0751875541   0.9388413668   0.4627369264   0.9071518213   104.812645     1.552469031    
93       I1         0.4921449078   2.175444903    2.983373812    0.6064637601   0.1013074441   8.194513123    2.145568572    2.131057701    1.958958951    0.05529281202  0.3165357638   0.6505647267   0.3756536661   30.83757809    1.686077073    
94       I1         0.9744128914   1.146068176    2.767248125    0.9569122946   0.191096213    0.2008739061   2.410876968    3.295816011    2.886625414    0.131152837    0.447176046    0.5588946152   0.6568569629   138.619975     1.570087694    
95       I1         1.040563043    1.072841677    2.885188013    0.8742615238   0.739563675    0.9747690129   2.673313704    1.133351342    0.1460163767   0.1133079901   0.19955821     0.6994534355   0.5318078018   105.8808473    1.464013999    
96       I1         0.5094663364   2.578719527    4.180923743    0.9308505921   0.2156810159   2.858188311    1.787865248    2.352832246    1.749542058    0.06902304405  0.01076259456  0.1473948366   0.4829305745   26.92431031    2.003871093    
97       I1         0.4479365181   1.374843451    4.08921173     0.7362907138   0.4302886432   5.308717337    1.390362506    1.619660636    2.015472823    0.1149770276   0.06360316821  0.7248481562   0.07342330204  5.486279474    2.326729359    
98       I1         1.347496987    1.338449556    4.311366217    0.1603838599   0.8581902132   0.6846961195   3.065255811    1.073844788    1.833492953    0.1397760005   0.7189309344   0.2394011773   0.2755765532   8.415891249    1.851918866    
99       I1         1.832347989    2.086270055    2.830048849    0.4727462276   0.6084285145   8.449250233    2.689356423    2.847355335    0.892350809    0.1353491659   0.05292350722  1.013365467    0.6102148963   4.395865963    0.6763605308   
100      I1         1.269443469    2.030189091    4.324691621    0.7772854328   0.3533398499   8.960502068    2.956226925    1.694393547    1.815467744    0.004240033761 0.2534734137   0.9126722001   0.8263538348   214.0822239    0.9372870485   
101      I1         1.64120002     2.635292786    3.223508307    0.7994510876   0.7934731076   3.372111183    1.959406696    1.733278122    0.1379623481   0.08636494781  0.02280561979  0.5493153364   0.360840303    55.58613567    1.680550409    
102      I1         1.404016156    1.47684756     2.615440332    0.4191608878   0.2644768829   4.529884387    2.477539512    1.042648812    2.362576559    0.01594580139  0.8991011224   0.003763401734 0.79086059     207.8621935    0.8732391544   
103      I1         0.8535962471   2.007974284    2.674299496    0.3961759723   0.3434151444   1.957400108    1.056579247    1.997363397    1.731088826    0.09491497111  0.2279536292   0.6003779156   0.1063821814   83.85631041    2.357608881    
104      I1         1.031569625    1.322749343    4.446948188    0.7390744977   0.941542642    7.465637508    2.782450497    2.186886715    1.595197944    0.07386629223  0.212184488    0.9963729358   0.2793754222   183.579643     1.83810241     
105      I1         0.7196277594   1.806078942    2.635728609    0.6238800601   0.6121861275   4.447244152    2.498154856    2.914440764    0.5220467322   0.1214084563   0.144240162    0.9694561558   0.8373904939   196.2006993    1.208775874    
106      I1         0.7724829562   2.191445607    2.752934595    0.7047729654   0.9830281785   0.6281363281   2.992670836    1.709532016    2.063724258    0.01615721326  0.5800690266   1.123694287    0.3873713342   106.9701071    1.662795212    
107      I1         1.212023774    2.129963821    3.788768941    0.8351751549   0.1413102393   3.91128993     2.161512037    2.160588461    0.4924472402   0.001738055599 0.827271622    0.5859328164   0.5693959032   185.6474553    1.413191649    
108      I1         0.6729906473   2.572289077    2.641115736    0.3768789556   0.2176088771   2.534502614    1.457105575    3.433414177    1.923184167    0.1285822193   0.9120284746   0.3019349326   0.4359867771   102.4992211    1.894693672    
109      I1         0.7603459946   1.353113064    3.609136604    0.06864317479  0.5788924596   0.5941868708   2.759534361    3.430714476    0.9031442155   0.1410971132   0.686605707    0.3263641291   0.810588926    133.2170627    1.286452182    
110      I1         1.799934239    1.717746796    3.151201792    0.7479293057   0.5280954635   9.435916875    1.47547493     1.9561265      1.886483438    0.0392917386   0.0312338462   0.2664644332   0.625535804    274.6016455    1.418722772    
111      I1         0.5369019975   1.850722746    2.815005329    0.05814758281  0.871363053    0.4383188587   1.90589796     2.682615667    1.765927174    0.03955732123  0.4830883087   1.083296017    0.8047940445   71.35823025    1.357616934    
112      I1         0.6296351808   1.239487442    3.665054857    0.7740396554   0.4200881004   4.78116836     3.305645983    2.43486567     2.85167027     0.01653220019  0.5287221756   0.624995087    0.5955329305   57.02951108    1.64010189     
113      I1         1.758476031    2.037781874    3.461227053    0.5665403297   0.842247825    7.256774185    3.193581599    2.711427414    2.200932374    0.05423469921  0.4450268394   0.3452530149   0.2318901906   291.3642826    1.93377581     
114      I1         1.987353195    2.477854227    4.334839097    0.4257638904   0.3331156004   0.6063780837   1.529097193    3.473491156    1.317874553    0.05810579234  0.3780327417   0.8006618668   0.1109480392   261.614159     2.564700282    
115      I1         1.578140663    2.180520308    3.59973603     0.465210757    0.8820383405   0.1747179927   2.574820401    1.010142733    0.3103863271   0.01109025262  0.6345085928   0.4912435575   0.5432288744   154.769381     1.311419435    
116      I1         1.444278275    2.353332986    2.621126085    0.9664733799   0.1065470813   7.064042437    2.279363941    1.41230151     1.439557456    0.1174376203   0.8197467535   0.2889713852   0.1280086108   244.4007289    2.019489553    
117      I1         1.659968719    2.653075503    3.409406389    0.6968460319   0.7841465648   2.653942694    2.287974566    1.633826458    0.6070820903   0.01529024303  0.495322939    0.5656072529   0.3349959315   94.54355977    1.69155359     
118      I1         1.901462023    1.310918435    4.105667461    0.3820957175   0.1739787854   9.773474863    2.536759611    3.225887387    1.712251941    0.1206147644   0.9823118167   0.1083247658   0.1703693943   96.94802357    2.195658752    
119      I1         1.126024947    2.680127378    3.554404698    0.368880236    0.5735897937   5.736727176    3.265983532    3.039884572    1.376794623    0.09042048837  0.04873912878  0.5134655408   0.6625361001   64.408746      0.6459651138   
120      I1         1.101323509    1.985846631    3.427281611    0.5249688643   0.02603853883  7.407846489    1.624863909    2.136034172    1.820316674    0.05294715854  0.2710083945   0.7146338841   0.7172116056   174.5374074    1.282704176    
121      I1         0.7074897604   1.563813263    3.481052509    0.09506460568  0.1628758786   3.585673627    2.96616941     2.014075479    0.4602341427   0.1402681041   0.8141121699   0.7475864057   0.4606135479   15.0274152     1.577201084    
122      I1         1.205255055    2.309147292    2.599265732    0.1205591682   0.2340491312   7.717283805    2.503245116    2.030857783    0.4869840462   0.06340395858  0.8724405719   0.9651459609   0.9201609847   3.262979616    0.7410415209   
123      I1         0.3902345162   1.740200609    2.549313107    0.5699990112   0.607010724    5.371052394    2.088695206    2.96108724     0.2908260987   0.01428642571  0.647013944    0.1235298718   0.7852617269   158.3233544    1.746394347    
124      I1         1.550696324    1.475532227    3.084757358    0.2482968935   0.4967438265   0.7839750314   1.73296427     3.372664795    0.4140201693   0.1120714863   0.7825480821   0.1510386529   0.7129004453   159.9125031    1.245942395    
125      I1         0.6363943388   1.705854979    4.08083248     0.5617577824   0.4874712745   7.534625544    3.397554594    2.172766012    1.455732553    0.03044819267  0.411158342    0.03642676019  0.5514652209   217.1666362    1.711621296    
126      I1         1.505239601    1.763486224    3.91705676     0.5279734897   0.2098740821   3.614292698    1.939175983    1.114278104    2.129938298    0.03678181562  0.8513108      0.3999579996   0.06026135568  242.4678243    2.441872547    
127      I1         1.464084269    1.1350667      3.443101497    0.7351553244   0.5846141512   3.665753972    1.833273034    1.825856824    0.2010053494   0.1482336956   0.7979475441   0.1320208587   0.192963823    95.60105513    2.063016478    
128      I1         1.315604476    1.394356037    3.584868323    0.1822568941   0.9372722994   9.935364316    1.379363737    2.463793211    0.346218052    0.06171436336  0.04964967959  0.06283780197  0.9637840462   47.63604804    1.165527097    
129      I1         0.4057035626   1.643923416    2.544647477    0.2257529178   0.3294683232   6.766951214    2.446361673    2.784557048    0.1905704011   0.005011447635 0.7916322851   0.8628148921   0.02290035419  298.7056752    2.255302108    
130      I1         1.748286095    2.530528148    3.847275111    0.2944660222   0.02016356509  3.105402687    3.243481794    2.742180263    2.736030743    0.1464069829   0.3001483717   0.7114984246   0.9094582602   29.45297906    0.6920426579   
131      I1         1.870099175    2.522935073    2.976308004    0.1869733362   0.136307493    2.28079469     2.917057999    2.217505176    0.6646595126   0.03485736211  0.6233839663   0.7864912834   0.6892740387   213.5972656    0.9450425401   
132      I1         1.953548078    1.892177349    4.489577456    0.3513967573   0.7898699603   4.166339747    1.001621239    1.381929179    2.152566392    0.05745063693  0.04246964193  0.3430472589   0.5836915382   219.9554628    1.821010157    
133      I1         0.7805910733   1.732391951    2.520144982    0.7827888579   0.320086903    2.025216672    1.77103213     3.053054538    0.889469079    0.1391388247   0.3224624452   0.2361322118   0.5376455967   136.2890771    1.600110575    
134      I1         0.6558687647   1.675837711    3.113606452    0.0138220575   0.8745567966   4.286154237    1.354347043    2.307406288    1.759763486    0.143757588    0.2437438641   0.08675774554  0.7637092464   299.5944362    1.478062045    
